SET_ISBN_THIRTEEN_NO,SGVL_ISBN_NO,VLM_NM,TITLE_NM,ISBN_ORGT_NO
"9788952970428","9791134884833","38","k2","9791134884833 (38)"
"9791125595755","9791135489242","121","이것이법이다","9791135489242 (121)"
"9791125595755","9791135489259","122","이것이법이다","9791135489259 (122)"
"9788925894720","9791134884796","24","브툼","9791134884796 (24)"
"9788925894720","9791134889258","25","브툼","9791134889258 (25)"
"9788967256661","9791136280527","22","요괴아파트의우아한일상","9791136280527 (22)"
"9788925297699","9791136276056","28","노부나가의셰프","9791136276056 (28)"
"9788925297699","9791136280633","29","노부나가의셰프","9791136280633 (29)"
"9791163113751","9791136731906","60","지디펜드","9791136731906 (60)"
"9791163113751","9791136735645","61","지디펜드","9791136735645 (61)"
"9791163629870","9791136741684","19","오오쿠","9791136741684 (제19권(완결))"
"9791127843243","9791127862336","9","이세계치트마술사","9791127862336 (9)"
"9791133405480","9791136282163","13","일하지않는두사람","9791136282163 (13)"
"9788968225000","9791136273635","14","전자상가의서점아가씨","9791136273635 (14)"
"9791156250838","9791136275820","19","내가인기없는건아무리생각해도너희들탓이야","9791136275820 (19)"
"9791131936566","9791138005340","20","문호스트레이독스","9791138005340 (20)"
"9791133408306","9791136278296","9","삼각창의밖은밤","9791136278296 (9)"
"9788954226745","9791128371219","18","어제뭐먹었어","9791128371219 (18)"
"9791133406104","9791136275080","9","주문은토끼입니까","9791136275080 (Volume 9)"
"9791125639619","9791134870799","14","5시부터9시까지","9791134870799 (14)"
"9791163626152","9791136731845","12","시마회장","9791136731845 (12)"
"9791163626152","9791136733764","13","시마회장","9791136733764 (13)"
"9791185877303","9791159056291","9","김말봉전집","9791159056291 (9)"
"9791185877303","9791159056307","10","김말봉전집","9791159056307 (10)"
"9788954254762","9791128370670","12","카헤탐정부","9791128370670 (12)"
"9788967250782","9791136275295","23","카니발","9791136275295 (23)"
"9791133410910","9791136281425","7","31아이드림","9791136281425 (7)"
"9791131937662","9791138001069","11","푸치마스","9791138001069 (11)"
"9791133401987","9791136282378","12","뉴게임","9791136282378 (12)"
"9791186906460","9791127862312","18","변변찮은마술강사와금기교전","9791127862312 (18)"
"9791125645306","9791134884956","23","노라가미습유집","9791134884956 (23)"
"9791133412792","9791136278098","13","전당포시노부의보석상자","9791136278098 (13)"
"9791133412754","9791136274939","4","하루x키요","9791136274939 (4)"
"9788954253680","9791128371196","8","재난은날너무좋아해","9791128371196 (8)"
"9788927001591","9788927092032","12","그녀석의순정","9788927092032 (12)"
"9788927008774","9788927091516","7","키즈로그","9788927091516 (7)"
